description,price,stock
Christmas Tree Ornament,5.99,150
Toy Train,19.99,50
Santa Claus Figurine,29.99,30
Christmas Lights,12.99,100
Toy Soldier,9.99,80
Snow Globe,14.99,40
Gingerbread House Kit,18.99,60
Holiday Baking Set,22.99,45
Reindeer Plush Toy,8.99,75
Elf Costume,24.99,20
Festive Pillow,7.99,90
Sleigh Bell Set,11.99,55
Nutcracker Figurine,17.99,35
Jingle Bell Garland,9.99,70
Santa Hat,5.99,120
Christmas Puzzle,13.99,25
Candy Cane Scented Candle,8.99,50
Snowman Plush Toy,12.99,65
Holiday Greeting Cards (Pack of 20),6.99,100
Christmas Cookie Cutters Set,10.99,40
Wreath with LED Lights,28.99,15
Festive Mug,4.99,85
Wooden Advent Calendar,19.99,30
Santa Beard and Wig Set,15.99,25
Stocking Stuffer Assortment,9.99,75
Christmas Storybook,7.99,60
Ugly Christmas Sweater,26.99,18
Snowflake String Lights,14.99,40
Peppermint Hot Chocolate Mix,3.99,95
Penguin Plush Toy,10.99,50
Christmas Carols CD,5.99,80
Felt Snowman Craft Kit,12.99,35
Glow-in-the-Dark Stars Set,8.99,65
Holiday Scented Soap Set,16.99,28
Christmas-themed Puzzle,11.99,45
Santa Claus Apron,9.99,60
Gingerbread House Baking Kit,22.99,22
LED Reindeer Figurine,19.99,28
Christmas Cookie Mix,7.99,50
Festive Placemat Set (4),14.99,35
Mini Christmas Tree,18.99,20
Ugly Sweater Cookie Cutter,4.99,90
Snowman LED Night Light,12.99,40
Christmas-themed Mug,6.99,75
Festive Wreath,23.99,30
Rudolph Plush Toy,11.99,45
Holiday Tea Sampler,9.99,55
Snowflake Cookie Jar,14.99,25
Christmas Jigsaw Puzzle,16.99,20
Felt Reindeer Ornament Kit,8.99,40
Santa's Workshop Playset,29.99,15
Peppermint Bark Chocolate,5.99,80
Christmas Tree Skirt,18.99,30
Gingerbread Man Oven Mitts,12.99,35
Festive Napkin Set (6),9.99,60
Holiday Scented Candle Trio,17.99,28
North Pole Signpost,14.99,22
Snowman Cookie Jar,12.99,25
Christmas Carol Karaoke DVD,7.99,70
Holiday Puzzle Book,6.99,45
Jingle Bell Door Hanger,11.99,50
Festive Throw Blanket,19.99,18
Nutcracker Ballet DVD,8.99,65
Gingerbread House Mug,9.99,75
Santa's Magic Key,4.99,90
Polar Bear Plush Toy,13.99,40
Christmas Recipe Book,10.99,30
Light-Up Snowflake Earrings,6.99,55
Holiday Cookie Decorating Kit,15.99,28
Felt Christmas Tree Ornament,7.99,65
Christmas Pajama Set,24.99,20
Snowman Family Figurine Set,17.99,32
Holiday Crossword Puzzle Book,5.99,60
Sleigh Ride Scented Candle,8.99,45
Festive Serving Platter,12.99,38
Penguin Family Plush Set,21.99,15
Christmas Card Holder,9.99,50
Ugly Sweater Wine Bottle Cover,6.99,75
Jingle Bell Bracelet,3.99,100
Holiday Baking Utensil Set,14.99,22
Santa's Mailbox Decoration,11.99,40
Christmas Carol Singing Book,7.99,30
Wooden Reindeer Figurine,19.99,18
Festive Cookie Tin,8.99,65
Gingerbread House Silicone Mold,10.99,28
Festive Table Runner,13.99,32
Christmas Morning Coffee Blend,5.99,50
Felt Stocking Craft Kit,9.99,60
Snowman Mug and Plate Set,16.99,25
Sparkling Snowflake Garland,12.99,40
Christmas Countdown Calendar,9.99,55
Festive Scented Sachets (Set of 3),14.99,30
Holiday Sticker Activity Book,6.99,70
Wooden Snowman Decoration,18.99,25
Peppermint Swirl Lollipop,3.99,90
Santa's Workshop Puzzle,15.99,20
Felt Penguin Ornament Kit,8.99,45
Elf on the Shelf Plush,21.99,18
Festive Door Mat,11.99,35
Christmas Carol Board Game,17.99,28
Snowman Placemat Set (4),9.99,60
Holiday Cookie Press Set,13.99,22
Candy Cane Striped Socks,5.99,75
Jingle Bell Wind Chimes,10.99,50
Gingerbread Man Mug,7.99,65
North Pole Express Train Set,29.99,15
Santa's Little Helper Apron,14.99,22
Holiday Puzzle Cube,8.99,60
Felt Christmas Stocking,6.99,75
Cranberry Orange Scented Soap,4.99,85
Festive Penguin Pillow,19.99,30
Christmas Pudding Truffles,16.99,28
Light-Up Snowman Decoration,22.99,18
Santa's Sleigh Advent Calendar,12.99,25
Festive Baking Apron,15.99,32
Holiday Gumball Machine,9.99,55
Snowflake Shaped Coasters (Set of 6),7.99,65
Jingle Bell Wreath,11.99,40
Christmas Caroling Hat,5.99,80
Reindeer Antler Headband,3.99,100
Holiday Cookie Scoop,8.99,50
Festive Tea Infuser,6.99,70
Penguin Cookie Cutter Set,10.99,45
Ugly Sweater Christmas Cards (Pack of 12),13.99,32
Gingerbread House Night Light,16.99,25
Felt Reindeer Headband,4.99,90
Candy Cane Striped Scarf,7.99,75
Christmas Tree Cake Topper,11.99,40
Holiday Puzzle Mug,9.99,60
Festive Gift Wrap Set (Assorted),19.99,20
Santa's Workshop Play Dough Set,14.99,28
Glow-in-the-Dark Snowflake Wall Decals,10.99,45
Christmas Carol Singing Plush,24.99,15
Classic White T-Shirt,14.99,50
Slim Fit Blue Jeans,29.99,40
Black Leather Jacket,49.99,20
Floral Print Sundress,24.99,35
Gray Pullover Hoodie,34.99,30
Distressed Denim Shorts,19.99,45
Striped Button-Up Shirt,22.99,55
Knit Cardigan Sweater,39.99,25
High-Waisted Skinny Jeans,32.99,28
Flowy Maxi Skirt,27.99,38
Cotton V-Neck Sweater,28.99,42
Casual Linen Shorts,16.99,60
Printed Graphic Tee,18.99,48
Plaid Flannel Shirt,26.99,32
Fitted Pencil Skirt,23.99,50
Denim Jacket with Patches,44.99,18
Cropped Wide-Leg Pants,31.99,22
Striped Boatneck Top,20.99,58
Faux Leather Leggings,29.99,30
Polka Dot Wrap Dress,36.99,24
Crewneck Sweatshirt,21.99,55
Khaki Chino Pants,26.99,38
Lace Trim Camisole,12.99,70
Tailored Blazer,42.99,20
Printed Palazzo Pants,33.99,26
Off-Shoulder Blouse,18.99,48
Corduroy Overall Dress,29.99,35
Striped Linen Shirt,24.99,42
Tie-Dye Lounge Set,37.99,18
Midi Wrap Dress,30.99,30
Classic Polo Shirt,15.99,65
A-Line Pleated Skirt,22.99,44
Ribbed Knit Sweater,28.99,38
Cargo Jogger Pants,24.99,48
Sleeveless Shift Dress,19.99,58
Printed Culotte Jumpsuit,34.99,22
Cotton Henley T-Shirt,16.99,55
Ripped Skinny Jeans,26.99,32
Wrap Front Blouse,21.99,50
Wide-Leg Linen Pants,29.99,28
Velvet Bodycon Dress,38.99,20
Striped Midi Dress,25.99,36
Denim Mini Skirt,18.99,60
Classic Chino Shorts,14.99,72
Knitted Turtleneck Sweater,32.99,24
Striped Off-Shoulder Top,23.99,40
High-Rise Skinny Jeans,34.99,30
Quilted Bomber Jacket,47.99,18
Tropical Print Sundress,29.99,35
Oversized Knit Sweater,42.99,25
Athletic Jogger Shorts,18.99,45
Chambray Button-Up Shirt,26.99,28
Cashmere V-Neck Sweater,56.99,20
Wide-Leg Linen Trousers,37.99,22
Ruffled Wrap Skirt,31.99,38
Silk Blend Blouse,28.99,42
Denim Pinafore Dress,24.99,50
Abstract Print Blouse,21.99,58
Checked Flannel Shirt,32.99,32
Tailored Pencil Skirt,26.99,48
Faux Fur Collar Coat,56.99,18
Wide-Leg Culotte Pants,35.99,26
Mock Neck Ribbed Top,19.99,55
Leather Leggings,32.99,30
Botanical Print Maxi Dress,39.99,24
Quarter-Zip Pullover,23.99,55
Cargo Utility Pants,29.99,38
Lace Trim Camisole,17.99,70
Structured Blazer,49.99,20
Abstract Print Palazzo Pants,37.99,26
Peasant Sleeve Blouse,24.99,42
Denim Overall Dress,36.99,35
Embroidered Linen Shirt,29.99,42
Ribbed Tank Top,18.99,48
Wide-Leg Jumpsuit,33.99,22
Midi Shirt Dress,26.99,30
Pleated Culotte Pants,21.99,50
Classic Striped Polo,15.99,65
A-Line Midi Skirt,22.99,44
Ribbed Turtleneck Sweater,28.99,38
Cargo Pocket Joggers,25.99,48
Sleeveless Tunic Dress,19.99,58
Floral Print Wrap Jumpsuit,34.99,22
Striped Henley T-Shirt,16.99,55
Ripped Denim Jeans,27.99,32
Tie-Front Blouse,23.99,50
Cotton Jogger Pants,29.99,28
Velvet Wrap Dress,38.99,20
Polka Dot Midi Dress,25.99,36
Pleated A-Line Skirt,18.99,60
Classic Bermuda Shorts,14.99,72
Wireless Noise-Canceling Headphones,129.99,30
Smart Home Security Camera,79.99,45
Foldable Bluetooth Keyboard,49.99,25
