Number,name,species,breed,gender,birth,chipNumber
1,Ziggy,cat,Korat,female,2011-02-19,IM713783W
2,Luna,cat,Havana Brown,female,2012-06-18,RO244802W
3,Ivy,dog,Borzoi,female,2019-09-05,AP320502Y
4,Zara,dog,Siberian Husky,female,2011-02-18,CN415597W
5,Yasmin,dog,English Mastiff,female,2017-12-16,WN826953X
6,Luna,dog,Staffordshire Bull Terrier,female,2022-05-23,OP185447W
7,Luna,dog,Shetland Sheepdog,female,2013-07-20,EN794938W
8,Roscoe,dog,Pug,male,2014-06-14,RN265917X
9,Sophie,dog,Cocker Spaniel,female,2016-09-04,OO814138Z
10,Apollo,dog,Staffordshire Bull Terrier,male,2017-11-01,HM418632Z
11,Charlie,cat,Russian Blue,male,2023-11-22,QN725642Z
12,Lou,cat,Manx,male,2020-04-08,PO345490X
13,Ella,cat,Tonkinese,female,2012-10-08,LN533458X
14,Apollo,dog,Italian Greyhound,male,2015-04-21,WO487175W
15,Sammy,dog,Bullmastiff,male,2013-09-12,JO657395Y
16,Dexter,dog,Shih Tzu,male,2020-05-26,JM916473X
17,Isla,cat,Himalayan,female,2020-05-08,HO971599Y
18,Ella,dog,Siberian Husky,female,2023-07-05,LM400059Z
19,Oreo,cat,Khao Manee,female,2021-02-06,DO535466X
20,Misty,cat,Maine Coon,female,2014-11-02,QN344037Z
21,Yara,cat,Bengal,female,2014-10-14,NN752075W
22,Jack,dog,Bernese Mountain Dog,male,2019-11-01,ZP237700X
23,Jax,dog,Borzoi,male,2018-05-12,PP246180W
24,Jax,cat,Birman,male,2011-02-21,GO734043W
25,Louie,dog,Dachshund,male,2018-06-12,IM323534X
26,Lulu,cat,Asian,female,2012-05-29,FP811658Y
27,Coco,dog,Saint Bernard,male,2021-10-17,AM610633X
28,Tinkerbell,dog,Great Dane,female,2012-11-05,WM314888W
29,Yuki,dog,Corgi,female,2018-05-20,FO589262W
30,Daisy,dog,German Shepherd,female,2015-11-11,RP158997W
31,Ruby,cat,Scottish Fold,female,2018-02-08,RN598156W
32,Zeus,dog,Corgi,male,2012-11-14,BN122589Z
33,Ursula,dog,Cane Corso,female,2011-07-03,OP955462X
34,Dolly,cat,Turkish Van,female,2012-04-22,VP619273Y
35,Mabel,dog,Yorkshire Terrier,female,2013-07-21,RM718737W
36,Willow,cat,Singapura,female,2019-10-21,EO985157X
37,Lucy,cat,Sokoke,female,2020-08-24,BM121361X
38,Hazel,dog,Pomeranian,female,2018-08-25,JN512201X
39,Jax,cat,Scottish Fold,male,2022-12-14,QM145227X
40,Smokey,cat,Munchkin,male,2014-04-18,PO418747Z
41,Prince,dog,German Shorthaired Pointer,male,2015-01-02,AP883969X
42,Sam,cat,European Shorthair,male,2011-06-30,HO380976X
43,Buster,dog,Chihuahua,male,2012-10-21,CM595943Z
44,Sammy,dog,Pug,male,2018-06-28,XP602733X
45,Ginger,cat,British Shorthair,female,2022-07-12,RN617660X
46,Quincy,cat,Chausie,female,2018-07-24,CO365008W
47,Olive,dog,Staffordshire Bull Terrier,female,2010-08-15,MM632609Z
48,Zeus,dog,Borzoi,male,2010-03-04,XO213534Z
49,Abby,dog,Bullmastiff,female,2022-04-27,DN654276Z
50,Rocky,dog,Cavalier King Charles Spaniel,male,2013-09-08,BP742906Y
51,Leo,dog,Border Collie,male,2019-07-18,GM720975Z
52,Ollie,cat,Nebelung,male,2015-12-25,EO851653Z
53,Mochi,cat,Abyssinian,male,2013-01-19,ZP304956X
54,Jinx,cat,Colorpoint Shorthair,male,2017-11-26,EP359838Z
55,George,cat,Himalayan,male,2016-12-04,YO745622Z
56,Jack,dog,Bichon Frise,male,2015-09-29,PM109120Z
57,Tulip,dog,Keeshond,female,2016-10-06,CM876260Z
58,Piper,dog,Saint Bernard,female,2015-08-12,UP866857W
59,Spike,cat,British Shorthair,male,2015-07-08,QN141932Z
60,Tiger,dog,Chihuahua,male,2021-09-24,JP275009W
61,Winnie,dog,Chihuahua,female,2018-10-10,RO217357Y
62,Maggie,dog,Pug,female,2010-08-31,DP824511Z
63,Ella,cat,European Shorthair,female,2023-12-27,SO794244W
64,Jasper,dog,Pomeranian,male,2012-03-01,GO489889W
65,Clyde,cat,Japanese Bobtail,male,2010-10-03,YP934624Z
66,Dolly,dog,Border Collie,female,2017-09-07,ON713995X
67,Rusty,cat,Persian,male,2015-05-26,YM423350W
68,Otis,cat,Birman,male,2021-11-13,IP186661Z
69,Mickey,cat,Fluffybutt,male,2018-10-16,OM627501X
70,Zara,cat,Himalayan,female,2011-08-18,AM396154Z
71,Raven,dog,Samoyed,female,2023-09-21,LM953355Z
72,Sammy,dog,Bullmastiff,male,2015-07-30,FP860410W
73,Marley,dog,Great Dane,male,2011-11-10,ZP107113Y
74,Ursula,cat,Siamese,female,2023-08-26,LN777805X
75,Winston,dog,Dalmatian,male,2023-12-13,PP396082X
76,Maggie,dog,German Shepherd,female,2012-08-04,FO575998Y
77,Sassy,dog,Bernese Mountain Dog,female,2010-11-16,QO142317Y
78,Gracie,dog,Rhodesian Ridgeback,female,2013-09-17,YP710768Y
79,Buddy,dog,Maltese,male,2013-03-28,LO496247W
80,Foxy,dog,Pug,female,2019-05-25,UP619056X
81,Charlie,cat,Nebelung,male,2012-03-10,YP778432W
82,Winston,dog,Chow Chow,male,2018-11-26,LN128262X
83,Honey,cat,Ocicat,female,2021-01-30,TM436342Z
84,Finn,dog,Australian Shepherd,male,2017-04-16,ZM588558Y
85,Teddy,dog,Boxer,male,2021-06-19,BP962408Z
86,Jasper,cat,Colorpoint Shorthair,male,2019-04-11,VM181256W
87,Archie,cat,Persian,male,2012-05-07,YP393627Y
88,Zoe,dog,Bernese Mountain Dog,female,2021-10-23,HM919431Z
89,Lily,dog,Borzoi,female,2020-04-27,HN721474Y
90,Jasper,cat,Sparklepaws,male,2014-09-04,EP207065X
91,Winston,dog,Bernese Mountain Dog,male,2012-11-05,ZP812967Z
92,Bailey,cat,Russian Blue,female,2013-11-18,RM884535Y
93,Dolly,cat,Egyptian Mau,female,2016-04-10,GP496288W
94,Xena,dog,Bichon Frise,female,2016-04-04,BP868487Y
95,Rocky,dog,Italian Greyhound,male,2023-05-18,FP230465X
96,Riley,dog,Shih Tzu,male,2017-05-31,OO908600X
97,Zara,cat,LaPerm,female,2018-01-12,PM854473Y
98,Foxy,cat,Cornish Rex,female,2016-11-08,KM273279Y
99,Sassy,cat,Sokoke,female,2021-11-11,FP376500Z
100,Hunter,cat,Manx,male,2011-05-24,OP766815Y
101,Cali,dog,Bullmastiff,female,2023-04-02,DP894439Z
102,Ivy,dog,Boxer,female,2012-08-05,XM826848X
103,Dexter,cat,Sparklepaws,male,2022-04-15,FO165404X
104,Willow,cat,Chartreux,female,2018-06-07,GO656312X
105,Joey,cat,American Shorthair,male,2020-06-19,RO995795Y
106,Winston,cat,Khao Manee,male,2011-06-27,PP912982X
107,Winnie,cat,Siamese,female,2014-08-05,XN204583W
108,Phoebe,dog,Samoyed,female,2018-03-01,UO658422Z
109,Otis,dog,Italian Greyhound,male,2015-07-12,ZP505614Y
110,Sam,cat,Bambino,male,2023-07-20,CN834640W
111,Zola,cat,Egyptian Mau,female,2010-07-28,QM793753X
112,Peaches,dog,Chihuahua,female,2010-01-29,WP932790Y
113,Dexter,cat,Pixiebob,male,2020-03-13,VP599210W
114,Lola,cat,Sparklepaws,female,2020-11-14,MO565980X
115,Layla,dog,Siberian Husky,female,2016-05-27,FM384082Z
116,Tulip,dog,Cane Corso,female,2011-11-14,ZO711454W
117,Maggie,dog,Rhodesian Ridgeback,female,2015-05-15,VP733031X
118,Harley,dog,Bullmastiff,female,2018-05-17,TN541362X
119,Riley,dog,Newfoundland,female,2022-04-16,AM949452Y
120,Tiger,dog,French Bulldog,male,2017-09-26,JM980361Y
121,Buddy,dog,Shar Pei,male,2015-05-18,PP311990Y
122,Kobe,cat,Egyptian Mau,male,2022-09-28,EN791863X
123,Yasmin,cat,Ocicat,female,2017-05-30,TO126187Y
124,Bailey,cat,Khao Manee,male,2019-05-24,VP567725Y
125,Kiki,cat,Bengal,female,2017-09-28,XO205454Z
126,Olive,cat,Werewolf,female,2011-03-03,ON236953Y
127,Toby,dog,Cavalier King Charles Spaniel,male,2020-03-16,ON938007W
128,Zeus,cat,Werewolf,male,2011-09-18,XM821951Z
129,Sammy,dog,Cane Corso,male,2019-06-14,NM211497Y
130,Cinder,cat,Scottish Fold,female,2012-07-11,ZM298948W
131,Raina,dog,Shar Pei,female,2014-11-12,JM647362Y
132,Mickey,dog,Pug,male,2018-04-02,GN409927W
133,Fiona,cat,Ragdoll,female,2023-05-09,YM617722W
134,Abby,cat,Korat,female,2021-09-22,FN137719Z
135,Chico,dog,Basset Hound,male,2015-10-27,HP521074Z
136,Hank,cat,Ocicat,male,2010-11-30,SN508736W
137,Kiki,dog,Labrador Retriever,female,2012-12-12,CP670640Y
138,Zoe,cat,Turkish Van,female,2019-05-20,VN479875Y
139,Mickey,cat,Maine Coon,male,2021-01-12,NN151942W
140,Molly,cat,Sphynx,female,2021-12-23,KP119427W
141,Mabel,cat,Khao Manee,female,2011-04-23,RO317074Y
142,Jasper,dog,Siberian Husky,male,2017-08-23,LM130442Y
143,Yuki,dog,Australian Shepherd,female,2017-04-10,VM678064X
144,Harvey,cat,Cymric,male,2010-12-11,WM795465Y
145,Olaf,cat,Sphynx,male,2023-02-09,ZN255020W
146,Quincy,dog,Bloodhound,female,2011-02-01,UP290037Z
147,Jack,cat,Burmese,male,2012-05-18,AO756720X
148,Jack,cat,Sokoke,male,2019-11-17,LO493534Z
149,Viva,dog,German Shorthaired Pointer,female,2015-07-29,HO513242X
150,Sable,dog,Cavalier King Charles Spaniel,female,2010-10-10,WM551885Z
151,Molly,dog,Pomeranian,female,2016-05-26,CM516544W
152,Roscoe,cat,Fluffybutt,male,2013-10-22,MP502323Y
153,Rufus,dog,Lhasa Apso,male,2021-01-24,KP363881W
154,Missy,cat,Russian Blue,female,2022-05-07,PM717670Y
155,Sasha,dog,Borzoi,female,2015-01-03,NO455735X
156,Smokey,cat,Japanese Bobtail,male,2020-02-15,SM979416Z
157,Riley,cat,Colorpoint Shorthair,female,2017-09-04,QN208102W
158,Hunter,cat,Manx,male,2023-11-16,ZM560558X
159,Harley,dog,Rhodesian Ridgeback,female,2021-06-19,XM227259Y
160,Charlie,cat,Asian,male,2015-11-16,SM186268Y
161,Tulip,cat,Abyssinian,female,2011-07-12,VP996925X
162,Jewel,cat,Siberian,female,2019-08-16,BN537664Z
163,Winnie,cat,Ocicat,female,2023-05-22,WP180979Y
164,Minnie,cat,Birman,female,2013-08-04,MN648519W
165,Blue,cat,Himalayan,male,2014-10-01,FM157576Y
166,Hunter,dog,French Bulldog,male,2011-07-17,VO365073W
167,Piper,cat,Siberian,female,2011-01-24,JO629785W
